Abraham	 Ralph	LA	R	N00036633
Achadjian	 Katcho	CA	R	N00037014
Adams	 Alma	NC	D	N00035451
Adams	 Boyce	MS	R	N00036990
Adcock	 Sam	MS	R	N00036926
Aderholt	 Robert B	AL	R	N00003028
Agbede	 Akinyemi	CA	D	N00033165
Aguilar	 Pete	CA	D	N00033997
Albertson	 Stewart	CA	D	N00036917
Allen	 Richard W	GA	R	N00033720
Amash	 Justin	MI	R	N00031938
Amodei	 Mark	NV	R	N00031177
Anderson	 Stephanie	FL	3	N00037163
Ash	 James	CA	R	N00036932
Ashford	 Brad	NE	D	N00005293
Ashworth	 Matthew	OH	R	N00036354
Atkinson	 Jacquie	CA	R	N00037020
Ayotte	 Kelly	NH	R	N00030980
Babin	 Brian	TX	R	N00005736
Bacon	 Donald John	NE	R	N00037049
Banks	 Jim	IN	R	N00037185
Baricevic	 Charles John	IL	D	N00037030
Barkley	 Mike	CA	D	N00033200
Barletta	 Lou	PA	R	N00025495
Barr	 Andy	KY	R	N00031233
Barragan	 Nanette	CA	D	N00037019
Barton	 Joe	TX	R	N00005656
Barve	 Kumar P	MD	D	N00001883
Bass	 Karen	CA	D	N00031877
Batsche	 Christopher	MO	R	N00037160
Beatty	 Joyce	OH	D	N00033904
Becerra	 Xavier	CA	D	N00009774
Beck	 Kristin	MD	D	N00036936
Becker	 Francis X Jr	NY	R	N00032702
Bedwell	 Danny	MS	L	N00034073
Beers	 Bob	NV	R	N00036211
Benishek	 Dan	MI	R	N00031934
Bennet	 Michael F	CO	D	N00030608
Bensmihen	 Joseph	FL	R	N00037026
Bera	 Ami	CA	D	N00030717
Bernal	 Benny	CA	D	N00037017
Beyer	 Don	VA	D	N00036018
Bilirakis	 Gus	FL	R	N00027462
Bishop	 Mike	MI	R	N00036449
Bishop	 Rob	UT	R	N00025292
Bishop	 Sanford	GA	D	N00002674
Black	 Diane	TN	R	N00031539
Blackburn	 Marsha	TN	R	N00003105
Blum	 Rod	IA	R	N00033744
Blumenauer	 Earl	OR	D	N00007727
Blumenthal	 Richard	CT	D	N00031685
Blunt	 Roy	MO	R	N00005195
Boehner	 John	OH	R	N00003675
Bonamici	 Suzanne	OR	D	N00033474
Bonner	 Jay Alan	FL	R	N00035577
Boozman	 John	AR	R	N00013873
Bordallo	 Madeleine Z	GU	D	N00024866
Bost	 Mike	IL	R	N00035420
Boustany	 Charles W Jr	LA	R	N00026595
Boyle	 Brendan	PA	D	N00035307
Brady	 Kevin	TX	R	N00005883
Brady	 Robert A	PA	D	N00001619
Brat	 Dave	VA	R	N00036013
Breu	 Tom	WI	D	N00036898
Bridenstine	 James	OK	R	N00033532
Brooks	 Mo	AL	R	N00030910
Brooks	 Susan	IN	R	N00033495
Brown	 Anthony	MD	D	N00036999
Brown	 Corrine	FL	D	N00002713
Brown	 Liz	IN	R	N00037186
Brown	 Paul Michael	TX	R	N00037254
Brownley	 Julia	CA	D	N00034254
Buchanan	 Vernon	FL	R	N00027626
Buck	 Kenneth R	CO	R	N00030829
Bucshon	 Larry	IN	R	N00031227
Burgess	 Michael	TX	R	N00025219
Burk	 John	NC	R	N00036941
Burr	 Richard	NC	R	N00002221
Burris	 Michael	MO	R	N00034523
Bustos	 Cheri	IL	D	N00033390
Butterfield	 G K	NC	D	N00027035
Byrne	 Bradley	AL	R	N00035380
Cage	 Ericke	VA	D	N00037057
Cain	 Emily	ME	D	N00035433
Calderin	 Michael	FL	D	N00028223
Calone	 David L	NY	D	N00037052
Calvert	 Ken	CA	R	N00007099
