dwn0,dwn1
-0.394,0.259
0.482,0.672
0.997,-0.076
0.65,0.213
0.4,0.447
0.72,0.014
0.6,0.349
-0.513,-0.297
-0.43,0.187
-0.526,-0.306
0.88,-0.323
-0.203,0.165
0.354,-0.136
0.824,0.217
-0.235,0.768
0.728,0.417
0.792,0.233
-0.354,-0.706
0.582,0.282
0.527,0.228
-0.419,-0.233
0.52,0.295
0.488,0.251
0.77,0.411
-0.42,0.223
0.951,-0.31
0.827,0.107
0.634,0.222
-0.366,0.128
-0.269,0.306
0.632,-0.1
0.619,0.22
0.608,0.359
0.529,0.245
-0.201,0.353
0.681,0.615
0.404,0.26
-0.565,0.118
-0.354,0.284
-0.252,0.025
-0.443,-0.179
0.657,0.356
-0.441,0.191
-0.4,-0.029
-0.382,0.416
0.788,-0.179
0.949,-0.079
-0.502,-0.377
-0.413,-0.148
-0.545,-0.266
-0.556,-0.438
0.95,-0.289
-0.52,-1.04
-0.414,-0.079
-0.479,0.29
0.827,-0.169
-0.424,-0.432
0.614,0.19
0.566,0.372
0.498,0.555
0.666,0.511
-0.29,0.111
-0.631,-0.612
0.632,0.34
-0.192,0.45
-0.175,0.561
-0.329,0.15
0.478,0.57
0.548,0.274
0.477,0.48
0.567,0.088
-0.359,0.013
-0.164,0.677
0.679,0.434
-0.386,-0.215
-0.458,-0.317
0.359,-0.519
-0.346,-0.075
-0.439,0.114
-0.431,-0.398
-0.281,0.234
-0.352,-0.115
-0.261,0.03
0.661,-0.079
0.473,-0.225
0.923,-0.067
0.772,0.182
-0.411,-0.058
0.231,0.038
-0.409,0.37
-0.374,-0.285
0.574,-0.566
-0.18,0.379
-0.263,0.106
0.834,-0.264
0.967,0.136
1.108,-0.174
-0.562,-0.57
-0.556,-0.661
0.587,0.442
-0.416,-0.213
-0.36,-0.502
-0.313,0.179
0.75,0.177
-0.399,-0.25
-0.514,-0.17
0.767,0.139
0.814,0.084
0.811,0.109
0.567,0.344
-0.244,0.63
0.739,0.618
-0.42,0.144
0.953,0.351
-0.511,-0.138
-0.286,0.184
-0.332,0.027
0.867,0.054
0.631,0.276
0.583,0.437
0.506,0.306
0.807,0.079
0.904,0.108
0.517,-0.011
0.792,-0.104
0.999,0.053
-0.421,0.096
-0.376,0.323
-0.376,0.323
0.867,-0.269
-0.557,-0.267
0.663,0.125
0.555,0.323
-0.445,-0.237
0.612,-0.522
0.517,0.58
0.878,-0.099
0.715,0.204
-0.503,0.131
-0.334,0.075
0.672,-0.307
0.75,-0.42
-0.265,0.156
-0.254,0.063
-0.26,0.121
0.911,-0.174
-0.49,-0.562
-0.354,0.141
0.939,-0.204
0.996,-0.092
-0.461,-0.447
0.911,-0.067
0.766,0.051
0.502,0.267
0.799,0.163
0.548,-0.036
-0.23,-0.085
0.641,0.038
-0.448,-0.221
0.822,-0.106
0.758,-0.129
-0.468,0.22
-0.425,-0.011
0.78,0.449
0.341,0.449
0.122,0.795
0.921,0.058
0.545,-0.162
-0.314,0.204
-0.357,-0.12
0.454,0.533
-0.427,0.1
-0.446,-0.006
-0.363,-0.034
-0.278,-0.052
-0.238,-0.19
0.467,0.159
0.728,0.488
0.607,-0.083
0.529,-0.772
-0.186,0.79
0.714,0.085
-0.261,0.117
0.999,0.046
0.369,0.011
0.748,0.434
0.853,0.38
0.691,-0.44
-0.335,0.27
0.752,0.305
-0.362,0.487
-0.375,-0.085
0.714,0.268
-0.656,-0.691
-0.344,-0.115
-0.555,-0.254
-0.161,0.383
0.473,-0.448
-0.272,0.216
-0.377,-0.558
0.754,0.492
-0.511,-0.046
-0.382,-0.301
0.477,0.489
0.661,0.259
-0.326,0.393
-0.344,0.246
-0.361,-0.375
-0.361,-0.375
0.661,0.486
0.492,0.583
0.999,0.049
-0.382,-0.005
0.668,0.246
0.625,0.103
0.998,0.057
-0.41,-0.282
-0.598,-0.143
-0.473,-0.164
0.785,0.331
0.508,0.087
0.625,0.251
-0.252,0.261
0.833,0.226
0.43,0.046
