Abraham	LA	N00036633
Achadjian	CA	N00037014
Adams	NC	N00035451
Adams	MS	N00036990
Adcock	MS	N00036926
Aderholt	AL	N00003028
Agbede	CAS	N00033165
Aguilar	CA	N00033997
Albertson	CAS	N00036917
Allen	GA	N00033720
Amash	MI	N00031938
Amodei	NV	N00031177
Anderson	FL	N00037163
Ash	CA	N00036932
Ashford	NE	N00005293
Ashworth	OH	N00036354
Atkinson	CA	N00037020
Ayotte	NHS	N00030980
Babin	TX	N00005736
Bacon	NE	N00037049
Banks	IN	N00037185
Baricevic	IL	N00037030
Barkley	CA	N00033200
Barletta	PA	N00025495
Barr	KY	N00031233
Barragan	CA	N00037019
Barton	TX	N00005656
Barve	MD	N00001883
Bass	CA	N00031877
Batsche	MOS	N00037160
Beatty	OH	N00033904
Becerra	CA	N00009774
Beck	MD	N00036936
Becker	NY	N00032702
Bedwell	MS	N00034073
Beers	NVS	N00036211
Benishek	MI	N00031934
Bennet	COS	N00030608
Bensmihen	FL	N00037026
Bera	CA	N00030717
Bernal	CA	N00037017
Beyer	VA	N00036018
Bilirakis	FL	N00027462
Bishop	MI	N00036449
Bishop	UT	N00025292
Bishop	GA	N00002674
Black	TN	N00031539
Blackburn	TN	N00003105
Blum	IA	N00033744
Blumenauer	OR	N00007727
Blumenthal	CTS	N00031685
Blunt	MOS	N00005195
Boehner	OH	N00003675
Bonamici	OR	N00033474
Bonner	FL	N00035577
Boozman	ARS	N00013873
Bordallo	GU	N00024866
Bost	IL	N00035420
Boustany	LA	N00026595
Boyle	PA	N00035307
Brady	TX	N00005883
Brady	PA	N00001619
Brat	VA	N00036013
Breu	WI	N00036898
Bridenstine	OK	N00033532
Brooks	AL	N00030910
Brooks	IN	N00033495
Brown	MD	N00036999
Brown	FL	N00002713
Brown	IN	N00037186
Brown	TX	N00037254
Brownley	CA	N00034254
Buchanan	FL	N00027626
Buck	CO	N00030829
Bucshon	IN	N00031227
Burgess	TX	N00025219
Burk	NC	N00036941
Burr	NCS	N00002221
Burris	MO	N00034523
Bustos	IL	N00033390
Butterfield	NC	N00027035
Byrne	AL	N00035380
Cage	VA	N00037057
Cain	ME	N00035433
Calderin	FL	N00028223
Calone	NY	N00037052
Calvert	CA	N00007099
Campos	CA	N00033999
Capuano	MA	N00000267
Carbajal	CA	N00037015
Cardenas	CA	N00033373
Carney	DE	N00030736
Carroll	CAS	N00007498
Carson	IN	N00029513
Carson	None	N00036973
Carter	GA	N00035346
Carter	NVS	N00031188
Carter	TX	N00025095
Cartwright	PA	N00034128
Castillo	CA	N00037252
Castor	FL	N00027514
Castro	TX	N00033316
Chabot	CA	N00036102
Chabot	OH	N00003689
Chaffetz	UT	N00028958
Chavez	AZ	N00035807
Chavez	CAS	N00036918
Cheng	MD	N00036937
Choi	NJ	N00033246
Christopher	MD	N00035603
Chu	CA	N00030600
Cicilline	RI	N00032019
Clark	MA	N00035278
Clarke	NY	N00026961
Clawson	FL	N00035854
Clay	MO	N00012460
Cleaver	MO	N00026790
Cleek	CA	N00037011
Clinton	None	N00000019
Clyburn	SC	N00002408
Coffman	CO	N00024753
Cohen	TN	N00003225
Cole	OK	N00025726
Coleman	NJ	N00036158
Collins	NY	N00001285
Collins	GA	N00033518
Collins	MS	N00036997
Comstock	VA	N00036023
Conaway	TX	N00026041
Concepcion	IL	N00033520
Connolly	VA	N00029891
Conyers	MI	N00004029
Cook	CA	N00034224
