Bera	CA	N00030717	-0.2030	0.1650
Bishop	GA	N00002674	-0.2350	0.7680
Bustos	IL	N00033390	-0.2010	0.3530
Cooper	TN	N00003132	-0.1920	0.4500
Costa	CA	N00026341	-0.1750	0.5610
Cuellar	TX	N00024978	-0.1640	0.6770
Diaz-Balart	FL	N00025337	0.2310	0.0380
Doyle	PA	N00001373	-0.1800	0.3790
Foster	IL	N00029139	-0.2440	0.6300
Israel	NY	N00013345	-0.2300	-0.0850
Jones	NC	N00002299	0.2420	0.7420
Kind	WI	N00004403	-0.2380	-0.1900
Lipinski	IL	N00027239	-0.1610	0.3830
Maloney	NY	N00034277	-0.1870	0.3440
Murphy	PA	N00024992	-0.2260	0.7110
Pallone	NJ	N00000781	-0.2170	-0.0170
Peters	CA	N00033591	-0.1540	0.0000
Peterson	MN	N00004558	-0.1450	1.0110
Ruiz	CA	N00033510	-0.2060	0.4240
Schneider	IL	N00033101	-0.1840	-0.0240
Schrader	OR	N00030071	-0.2380	0.5710
Scott	GA	N00024871	-0.1950	0.3860
